video_path,start,end,label,caption
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c02.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c03.avi,0,10,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c04.avi,0,9,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c05.avi,0,11,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c06.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c01.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c02.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c03.avi,0,8,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c04.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c01.avi,0,8,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c02.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c03.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c04.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c05.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c06.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c01.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c02.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c03.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c04.avi,0,7,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c05.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c06.avi,0,9,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c07.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c01.avi,0,10,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c02.avi,0,10,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c03.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c04.avi,0,7,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c05.avi,0,9,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c06.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c07.avi,0,9,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c01.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c02.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c03.avi,0,9,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c04.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c05.avi,0,11,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c06.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c07.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c01.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c02.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c03.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c04.avi,0,5,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c05.avi,0,3,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c06.avi,0,6,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c07.avi,0,4,ApplyEyeMakeup,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyLipstick/v_ApplyLipstick_g01_c01.avi,0,5,ApplyLipstick,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyLipstick/v_ApplyLipstick_g01_c02.avi,0,6,ApplyLipstick,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyLipstick/v_ApplyLipstick_g01_c03.avi,0,12,ApplyLipstick,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyLipstick/v_ApplyLipstick_g01_c04.avi,0,14,ApplyLipstick,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyLipstick/v_ApplyLipstick_g01_c05.avi,0,8,ApplyLipstick,test
/home/vlso/Documents/GitHub/DMVR/examples/UCF101/data/ApplyLipstick/v_ApplyLipstick_g02_c01.avi,0,5,ApplyLipstick,test
